LAT,LON,dist_to_miami_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
31.0,-81.0,587.8072521017518,30, ,27.10999870300293,,27.99333953857422,,,,,,26.65,-0.102,1981,7,3,184,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-03 12:00:00,1,miami
31.8,-80.8,674.035048031373, , ,26.721332550048828,-1.6972808837890625,28.33231544494629,,,,,,26.65,-0.102,1981,7,3,184,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-03 15:00:00,0,miami
32.5,-80.5,749.8612106065766,25, ,,,28.613300323486328,,,,,,26.65,-0.102,1981,7,3,184,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-03 18:00:00,0,miami
33.2,-80.2,827.1016026726611, , ,,,,,,,,,26.65,-0.102,1981,7,3,184,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-03 21:00:00,0,miami
34.0,-80.0,916.2431494756062, , ,,,,,,,,,26.65,-0.102,1981,7,4,185,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-04 00:00:00,0,miami
10.5,-25.7,5959.111609874693,30,1009,27.36199951171875,-0.0182361602783203,27.42215347290039,,,,,,26.33,-0.123,1981,8,7,219,1,5959.111609874693,0.0,5959.111609874693,0.0,15.400141897022278,5.0,1981-08-07 06:00:00,0,miami
10.7,-27.0,5820.5121333340885, , ,27.48033332824707,-0.0450859069824218,27.51361846923828,,,,,,26.33,-0.123,1981,8,7,219,1,5820.5121333340885,0.0,5820.5121333340885,0.0,15.400141897022278,5.0,1981-08-07 09:00:00,0,miami
10.8,-28.1,5706.499674998208,30,1008,27.174665451049805,-0.4224205017089844,27.580181121826172,,,,,,26.33,-0.123,1981,8,7,219,1,5706.499674998208,0.0,5706.499674998208,0.0,15.400141897022278,5.0,1981-08-07 12:00:00,0,miami
10.9,-28.9,5622.380282924105, , ,27.373998641967773,-0.2494392395019531,27.60703468322754,,,,,,26.33,-0.123,1981,8,7,219,1,5622.380282924105,0.0,5622.380282924105,0.0,15.400141897022278,5.0,1981-08-07 15:00:00,0,miami
11.0,-29.6,5548.236140942696,30,1007,27.33566665649414,-0.3163642883300781,27.656429290771484,,,,,,26.33,-0.123,1981,8,7,219,1,5548.236140942696,0.0,5548.236140942696,0.0,15.400141897022278,5.0,1981-08-07 18:00:00,0,miami
11.1,-30.4,5464.203361019126, , ,27.336999893188477,-0.3457622528076172,27.68342399597168,,,,,,26.33,-0.123,1981,8,7,219,1,5464.203361019126,0.0,5464.203361019126,0.0,15.400141897022278,5.0,1981-08-07 21:00:00,0,miami
